Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-Guest-Network-Service,Information,1000,0,Microsoft-Windows-Guest-Network-Service-Operational,,,,Received a modify endpoint interface request. Id: '{EndpointId}'; Type: '{RequestType}'; Settings: '{Settings}'
Microsoft-Windows-Guest-Network-Service,Information,1001,0,Microsoft-Windows-Guest-Network-Service-Operational,,,,Received a modify endpoint IP address request. Id: '{EndpointId}'; Type: '{RequestType}'; Settings: '{Settings}'
Microsoft-Windows-Guest-Network-Service,Information,1002,0,Microsoft-Windows-Guest-Network-Service-Operational,,,,Received a modify endpoint route request. Id: '{EndpointId}'; Type: '{RequestType}'; Settings: '{Settings}'
Microsoft-Windows-Guest-Network-Service,Information,1003,0,Microsoft-Windows-Guest-Network-Service-Operational,,,,Received a modify endpoint encryption request. Id: '{EndpointId}'; Type: '{RequestType}'; Settings: '{Settings}'
Microsoft-Windows-Guest-Network-Service,Information,1004,0,Microsoft-Windows-Guest-Network-Service-Operational,,,,Received a modify endpoint DNS request. Id: '{EndpointId}'; Type: '{RequestType}'; Settings: '{Settings}'
Microsoft-Windows-Guest-Network-Service,Information,1005,0,Microsoft-Windows-Guest-Network-Service-Operational,,,,Received a modify endpoint DNSCache request. Id: '{EndpointId}'; Type: '{RequestType}'; Settings: '{Settings}'
Microsoft-Windows-Guest-Network-Service,Information,1006,0,Microsoft-Windows-Guest-Network-Service-Operational,,,,Received a modify endpoint proxy request. Id: '{EndpointId}'; Type: '{RequestType}'; Settings: '{Settings}'
Microsoft-Windows-Guest-Network-Service,Information,1007,0,Microsoft-Windows-Guest-Network-Service-Operational,,,,Received a modify endpoint PhysicalAddress request. Id: '{EndpointId}'; Type: '{RequestType}'; Settings: '{Settings}'
Microsoft-Windows-Guest-Network-Service,Information,1008,0,Microsoft-Windows-Guest-Network-Service-Operational,,,,Received a modify endpoint neighbor request. Id: '{EndpointId}'; Type: '{RequestType}'; Settings: '{Settings}'
Microsoft-Windows-Guest-Network-Service,Information,1009,0,Microsoft-Windows-Guest-Network-Service-Operational,,,,Received a modify endpoint XLAT request. Id: '{EndpointId}'; Type: '{RequestType}'; Settings: '{Settings}'
Microsoft-Windows-Guest-Network-Service,Error,1050,0,Microsoft-Windows-Guest-Network-Service-Operational,,,,A request failed with error '{ErrorCode}'. Method: '{Method}'; Path: '{Path}'; Settings: '{Settings}'
