Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1000,0,Critical,Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task/Operational,,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,Error searching for mobile broadband account parser events in channel 'Microsoft-Windows-DeviceSetupManager/Operational'.Error is {error}: {hresult},{error} | {hresult}
1000,0,Critical,Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task/Operational,,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,Error searching for mobile broadband account parser events in channel 'Microsoft-Windows-DeviceSetupManager/Operational'.Error is {error}: {hresult},{error} | {hresult}
1000,0,Critical,Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task/Operational,,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,Error searching for mobile broadband account parser events in channel 'Microsoft-Windows-DeviceSetupManager/Operational'.Error is {error}: {hresult},{error} | {hresult}
1000,0,Critical,Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task/Operational,,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,Error searching for mobile broadband account parser events in channel 'Microsoft-Windows-DeviceSetupManager/Operational'.Error is {error}: {hresult},{error} | {hresult}
1000,0,Critical,Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task/Operational,,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,Error searching for mobile broadband account parser events in channel 'Microsoft-Windows-DeviceSetupManager/Operational'.Error is {error}: {hresult},{error} | {hresult}
1000,0,Critical,Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task/Operational,,,,Windows 10,21H1,Pro,2021/04/13,19043.928,Error searching for mobile broadband account parser events in channel 'Microsoft-Windows-DeviceSetupManager/Operational'.Error is {error}: {hresult},{error} | {hresult}
1000,0,Critical,Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task/Operational,,,,Windows 10,21H1,Pro,2022/06/21,19043.1766,Error searching for mobile broadband account parser events in channel 'Microsoft-Windows-DeviceSetupManager/Operational'.Error is {error}: {hresult},{error} | {hresult}
1000,0,Critical,Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task/Operational,,,,Windows 10,21H1,Pro,2022/05/17,19043.1706,Error searching for mobile broadband account parser events in channel 'Microsoft-Windows-DeviceSetupManager/Operational'.Error is {error}: {hresult},{error} | {hresult}
1000,0,Critical,Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task/Operational,,,,Windows 10,21H1,Pro,2022/04/19,19043.1645,Error searching for mobile broadband account parser events in channel 'Microsoft-Windows-DeviceSetupManager/Operational'.Error is {error}: {hresult},{error} | {hresult}
1000,0,Critical,Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task/Operational,,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,Error searching for mobile broadband account parser events in channel 'Microsoft-Windows-DeviceSetupManager/Operational'.Error is {error}: {hresult},{error} | {hresult}
1000,0,Critical,Microsoft-Windows-Mobile-Broadband-Experience-Parser-Task/Operational,,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,Error searching for mobile broadband account parser events in channel 'Microsoft-Windows-DeviceSetupManager/Operational'.Error is {error}: {hresult},{error} | {hresult}
