Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Information,System,,,,Windows 11,22H2,Pro,2022/12/20,22621.963,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,22H2,Pro,2022/11/15,22621.819,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,22H2,Pro,2022/10/18,22621.674,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,22H2,Pro,2022/09/20,22621.382,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,21H2,Pro,2022/09/20,22000.978,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,21H2,Pro,2022/08/16,22000.856,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,21H2,Pro,2022/07/19,22000.795,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,21H2,Pro,2022/05/17,22000.675,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,21H2,Pro,2022/04/19,22000.613,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,21H2,Pro,2022/03/15,22000.556,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,21H2,Pro,2022/02/15,22000.493,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,21H2,Pro,2022/01/11,22000.434,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,21H2,Pro,2021/09/16,22000.194,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,21H2,Pro,2022/12/20,22000.1335,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,21H2,Pro,2022/11/15,22000.1219,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,21H2,Pro,2022/10/18,22000.1098,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
1,0,Information,System,,,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,Secure Trustlet {ImageName} Id {TrustletIdentity} and Pid {NormalProcessId} started with status {Status}.,{ImageName} | {TrustletIdentity} | {NormalProcessId} | {Status}
