Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
2000,0,Error,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H2,Pro,2022/10/18,19044.213,The Windows Storage Provider could not start the remote storage subsystem.Storage Subsystem ID:		{SubsystemID}Storage Subsystem URI:	{SubsystemURI}Username:			{Username}Error Code:			{ErrorCode}Error String:			{ErrorString}Ensure that the remote storage subsystem is online and connected to the network.Check if the user attempting to connect to the subsystem has the necessary permissions.,{SubsystemID} | {SubsystemURI} | {Username} | {ErrorCode} | {ErrorString}
2000,0,Error,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H2,Pro,2022/09/20,19044.2006,The Windows Storage Provider could not start the remote storage subsystem.Storage Subsystem ID:		{SubsystemID}Storage Subsystem URI:	{SubsystemURI}Username:			{Username}Error Code:			{ErrorCode}Error String:			{ErrorString}Ensure that the remote storage subsystem is online and connected to the network.Check if the user attempting to connect to the subsystem has the necessary permissions.,{SubsystemID} | {SubsystemURI} | {Username} | {ErrorCode} | {ErrorString}
2000,0,Error,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H2,Pro,2022/08/16,19044.1889,The Windows Storage Provider could not start the remote storage subsystem.Storage Subsystem ID:		{SubsystemID}Storage Subsystem URI:	{SubsystemURI}Username:			{Username}Error Code:			{ErrorCode}Error String:			{ErrorString}Ensure that the remote storage subsystem is online and connected to the network.Check if the user attempting to connect to the subsystem has the necessary permissions.,{SubsystemID} | {SubsystemURI} | {Username} | {ErrorCode} | {ErrorString}
2000,0,Error,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H2,Pro,2022/07/19,19044.1826,The Windows Storage Provider could not start the remote storage subsystem.Storage Subsystem ID:		{SubsystemID}Storage Subsystem URI:	{SubsystemURI}Username:			{Username}Error Code:			{ErrorCode}Error String:			{ErrorString}Ensure that the remote storage subsystem is online and connected to the network.Check if the user attempting to connect to the subsystem has the necessary permissions.,{SubsystemID} | {SubsystemURI} | {Username} | {ErrorCode} | {ErrorString}
2000,0,Error,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,The Windows Storage Provider could not start the remote storage subsystem.Storage Subsystem ID:		{SubsystemID}Storage Subsystem URI:	{SubsystemURI}Username:			{Username}Error Code:			{ErrorCode}Error String:			{ErrorString}Ensure that the remote storage subsystem is online and connected to the network.Check if the user attempting to connect to the subsystem has the necessary permissions.,{SubsystemID} | {SubsystemURI} | {Username} | {ErrorCode} | {ErrorString}
2000,0,Error,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,The Windows Storage Provider could not start the remote storage subsystem.Storage Subsystem ID:		{SubsystemID}Storage Subsystem URI:	{SubsystemURI}Username:			{Username}Error Code:			{ErrorCode}Error String:			{ErrorString}Ensure that the remote storage subsystem is online and connected to the network.Check if the user attempting to connect to the subsystem has the necessary permissions.,{SubsystemID} | {SubsystemURI} | {Username} | {ErrorCode} | {ErrorString}
2000,0,Error,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,The Windows Storage Provider could not start the remote storage subsystem.Storage Subsystem ID:		{SubsystemID}Storage Subsystem URI:	{SubsystemURI}Username:			{Username}Error Code:			{ErrorCode}Error String:			{ErrorString}Ensure that the remote storage subsystem is online and connected to the network.Check if the user attempting to connect to the subsystem has the necessary permissions.,{SubsystemID} | {SubsystemURI} | {Username} | {ErrorCode} | {ErrorString}
2000,0,Error,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,The Windows Storage Provider could not start the remote storage subsystem.Storage Subsystem ID:		{SubsystemID}Storage Subsystem URI:	{SubsystemURI}Username:			{Username}Error Code:			{ErrorCode}Error String:			{ErrorString}Ensure that the remote storage subsystem is online and connected to the network.Check if the user attempting to connect to the subsystem has the necessary permissions.,{SubsystemID} | {SubsystemURI} | {Username} | {ErrorCode} | {ErrorString}
2000,0,Error,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H2,Pro,2021/10/12,19044.1288,The Windows Storage Provider could not start the remote storage subsystem.Storage Subsystem ID:		{SubsystemID}Storage Subsystem URI:	{SubsystemURI}Username:			{Username}Error Code:			{ErrorCode}Error String:			{ErrorString}Ensure that the remote storage subsystem is online and connected to the network.Check if the user attempting to connect to the subsystem has the necessary permissions.,{SubsystemID} | {SubsystemURI} | {Username} | {ErrorCode} | {ErrorString}
2000,0,Error,Microsoft-Windows-StorageManagement/Operational,,,,Windows 10,21H1,Pro,2021/04/13,19043.928,The Windows Storage Provider could not start the remote storage subsystem.Storage Subsystem ID:		{SubsystemID}Storage Subsystem URI:	{SubsystemURI}Username:			{Username}Error Code:			{ErrorCode}Error String:			{ErrorString}Ensure that the remote storage subsystem is online and connected to the network.Check if the user attempting to connect to the subsystem has the necessary permissions.,{SubsystemID} | {SubsystemURI} | {Username} | {ErrorCode} | {ErrorString}
