Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1,0,Warning,Application,,,,Windows Server 2019,1809,Standard,2021/05/11,17763.1935,Possible detection of CVE: {CVEID}Additional Information: {AdditionalDetails}This Event is generated when an attempt to exploit a known vulnerability ({CVEID}) is detected.This Event is raised by a User mode process.,{CVEID} | {AdditionalDetails} | {CVEID}
1,0,Warning,Application,,,,Windows Server 2019,1809,Standard,2021/08/10,17763.2114,Possible detection of CVE: {CVEID}Additional Information: {AdditionalDetails}This Event is generated when an attempt to exploit a known vulnerability ({CVEID}) is detected.This Event is raised by a User mode process.,{CVEID} | {AdditionalDetails} | {CVEID}
1,0,Warning,Application,,,,Windows Server 2019,1809,Standard,2020/01/14,17763.973,Possible detection of CVE: {CVEID}Additional Information: {AdditionalDetails}This Event is generated when an attempt to exploit a known vulnerability ({CVEID}) is detected.This Event is raised by a User mode process.,{CVEID} | {AdditionalDetails} | {CVEID}
1,0,Warning,Application,,,,Windows Server 2019,1809,Standard,2021/03/09,17763.1817,Possible detection of CVE: {CVEID}Additional Information: {AdditionalDetails}This Event is generated when an attempt to exploit a known vulnerability ({CVEID}) is detected.This Event is raised by a User mode process.,{CVEID} | {AdditionalDetails} | {CVEID}
1,0,Warning,Application,,,,Windows Server 2019,1809,Standard,2020/06/09,17763.1282,Possible detection of CVE: {CVEID}Additional Information: {AdditionalDetails}This Event is generated when an attempt to exploit a known vulnerability ({CVEID}) is detected.This Event is raised by a User mode process.,{CVEID} | {AdditionalDetails} | {CVEID}
1,0,Warning,Application,,,,Windows Server 2019,1809,Standard,2020/08/11,17763.1397,Possible detection of CVE: {CVEID}Additional Information: {AdditionalDetails}This Event is generated when an attempt to exploit a known vulnerability ({CVEID}) is detected.This Event is raised by a User mode process.,{CVEID} | {AdditionalDetails} | {CVEID}
1,0,Warning,Application,,,,Windows Server 2019,1809,Standard,2020/10/13,17763.1518,Possible detection of CVE: {CVEID}Additional Information: {AdditionalDetails}This Event is generated when an attempt to exploit a known vulnerability ({CVEID}) is detected.This Event is raised by a User mode process.,{CVEID} | {AdditionalDetails} | {CVEID}
1,0,Warning,Application,,,,Windows Server 2019,1809,Standard,2020/04/14,17763.1158,Possible detection of CVE: {CVEID}Additional Information: {AdditionalDetails}This Event is generated when an attempt to exploit a known vulnerability ({CVEID}) is detected.This Event is raised by a User mode process.,{CVEID} | {AdditionalDetails} | {CVEID}
1,0,Warning,Application,,,,Windows Server 2019,1809,Standard,2020/03/10,17763.1098,Possible detection of CVE: {CVEID}Additional Information: {AdditionalDetails}This Event is generated when an attempt to exploit a known vulnerability ({CVEID}) is detected.This Event is raised by a User mode process.,{CVEID} | {AdditionalDetails} | {CVEID}
1,0,Warning,Application,,,,Windows Server 2019,1809,Standard,2020/12/08,17763.1637,Possible detection of CVE: {CVEID}Additional Information: {AdditionalDetails}This Event is generated when an attempt to exploit a known vulnerability ({CVEID}) is detected.This Event is raised by a User mode process.,{CVEID} | {AdditionalDetails} | {CVEID}
1,0,Warning,Application,,,,Windows Server 2019,1809,Standard,2018/11/13,17763.107,Possible detection of CVE: {CVEID}Additional Information: {AdditionalDetails}This Event is generated when an attempt to exploit a known vulnerability ({CVEID}) is detected.This Event is raised by a User mode process.,{CVEID} | {AdditionalDetails} | {CVEID}
1,0,Warning,Application,,,,Windows Server 2019,1809,Standard,2019/12/10,17763.914,Possible detection of CVE: {CVEID}Additional Information: {AdditionalDetails}This Event is generated when an attempt to exploit a known vulnerability ({CVEID}) is detected.This Event is raised by a User mode process.,{CVEID} | {AdditionalDetails} | {CVEID}
1,0,Warning,Application,,,,Windows Server 2019,1809,Standard,2021/04/13,17763.1879,Possible detection of CVE: {CVEID}Additional Information: {AdditionalDetails}This Event is generated when an attempt to exploit a known vulnerability ({CVEID}) is detected.This Event is raised by a User mode process.,{CVEID} | {AdditionalDetails} | {CVEID}
1,0,Warning,Application,,,,Windows Server 2019,1809,Standard,2020/09/10,17763.1457,Possible detection of CVE: {CVEID}Additional Information: {AdditionalDetails}This Event is generated when an attempt to exploit a known vulnerability ({CVEID}) is detected.This Event is raised by a User mode process.,{CVEID} | {AdditionalDetails} | {CVEID}
