Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 11,22H2,Pro,2022/09/20,22621.382,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 11,21H2,Pro,2022/09/20,22000.978,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 11,21H2,Pro,2022/08/16,22000.856,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 11,21H2,Pro,2022/07/19,22000.795,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 11,21H2,Pro,2022/06/21,22000.739,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 11,21H2,Pro,2022/05/17,22000.675,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 11,21H2,Pro,2022/04/19,22000.613,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 11,21H2,Pro,2022/03/15,22000.556,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 11,21H2,Pro,2022/02/15,22000.493,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 11,21H2,Pro,2022/01/11,22000.434,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 11,21H2,Pro,2021/12/14,22000.376,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 11,21H2,Pro,2021/11/09,22000.318,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 11,21H2,Pro,2021/09/16,22000.194,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 11,21H2,Pro-Dev,1970/01/01,21996.1,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows Server 2022,21H2,Standard,2022/08/16,20348.887,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows Server 2022,21H2,Standard,2022/07/19,20348.825,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows Server 2022,21H2,Standard,2022/06/21,20348.768,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows Server 2022,21H2,Standard,2022/05/17,20348.707,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows Server 2022,21H2,Standard,2022/04/19,20348.643,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.587,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows Server 2022,21H2,Standard,2022/02/15,20348.524,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows Server 2022,21H2,Standard,2022/01/11,20348.469,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows Server 2022,21H2,Standard,2021/12/08,20348.405,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows Server 2022,21H2,Standard,2021/11/09,20348.35,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows Server 2022,21H2,Standard,2021/10/12,20348.288,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows Server 2022,21H2,Standard,2021/09/14,20348.23,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows Server 2022,21H2,Standard,2021/08/18,20348.169,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows Server 2022,21H2,Standard,2022/09/20,20348.1006,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 10,21H2,Pro,2022/09/20,19044.2006,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 10,21H2,Pro,2022/08/16,19044.1889,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 10,21H2,Pro,2022/07/19,19044.1826,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 10,21H2,Pro,2022/06/21,19044.1766,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 10,21H2,Pro,2022/05/17,19044.1706,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 10,21H2,Pro,2022/04/19,19044.1645,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
100,0,Error,Microsoft-Windows-Authentication/ProtectedUserFailures-DomainController,,,,Windows 10,21H2,Pro,2022/01/11,19044.1466,NTLM authentication failed because the account was a member of the Protected User group.Account Name:	{AccountName}Device Name:	{DeviceName}Error Code:	{Status},{AccountName} | {DeviceName} | {Status}
