Windows,Edition/SP,Version,Date,Build,Num Providers,Num Events
Windows 11,Pro,22H2,2023/02/21,22621.1265,890,52422
Windows 11,Pro,22H2,2022/11/15,22621.819,890,52417
Windows 11,Pro,22H2,2022/10/18,22621.674,890,52413
Windows 11,Pro,21H2,2022/06/21,22000.739,890,51774
Windows 10,Pro,22H2,2023/03/21,19045.2728,890,50974
Windows 10,Pro,21H2,2023/02/21,19044.2604,890,50960
Windows 10,Pro,21H1,2022/12/20,19043.2364,890,50939
Windows 10,Pro,21H2,2022/12/20,19044.2364,890,50939
Windows 10,Pro,22H2,2022/12/20,19045.2364,890,50939
Windows 10,Pro,21H1,2022/11/15,19043.2251,890,50936
Windows 10,Pro,21H2,2022/11/15,19044.2251,890,50936
Windows 10,Pro,22H2,2022/11/15,19045.2251,890,50936
Windows 10,Pro,21H2,2022/10/18,19044.213,890,50852
Windows 11,Pro,22H2,2023/03/21,22621.1413,889,52433
Windows 11,Pro,22H2,2022/09/20,22621.382,889,52367
Windows 11,Pro,21H2,2023/03/21,22000.1696,889,51918
Windows 11,Pro,21H2,2023/02/21,22000.1574,889,51888
Windows 11,Pro,21H2,2022/12/20,22000.1335,889,51883
Windows 11,Pro,21H2,2022/11/15,22000.1219,889,51880
Windows 11,Pro,21H2,2022/10/18,22000.1098,889,51866
Windows 11,Pro,21H2,2023/01/17,22000.1455,889,51843
Windows 11,Pro,21H2,2022/09/20,22000.978,889,51813
Windows 11,Pro,21H2,2022/08/16,22000.856,889,51756
Windows 11,Pro,21H2,2022/07/19,22000.795,889,51734
Windows 10,Pro,22H2,2023/02/21,19045.2604,889,50958
Windows 10,Pro,21H2,2023/03/21,19044.2728,889,50907
Windows 10,Pro,22H2,2023/01/17,19045.2486,889,50868
Windows 10,Pro,21H1,2022/10/18,19043.213,889,50783
Windows 11,Pro,21H2,2022/04/19,22000.613,888,51743
Windows 11,Pro,21H2,2022/03/15,22000.556,888,51743
Windows 11,Pro,21H2,2022/05/17,22000.675,888,51719
Windows 11,Pro,21H2,2022/02/15,22000.493,888,51704
Windows 11,Pro-Dev,21H2,1970/01/01,21996.1,888,50833
Windows 11,Pro,21H2,2021/12/14,22000.376,888,50833
Windows 11,Pro,21H2,2021/11/09,22000.318,888,50825
Windows 11,Pro,21H2,2021/09/16,22000.194,888,50823
Windows 11,Pro,21H2,2022/01/11,22000.434,887,50842
Windows 10,Pro,21H2,2023/01/17,19044.2486,887,50828
Windows 10,Pro,21H1,2022/09/20,19043.2006,887,50764
Windows 10,Pro,21H2,2022/09/20,19044.2006,887,50764
Windows 10,Pro,21H1,2022/08/16,19043.1889,887,50743
Windows 10,Pro,21H2,2022/08/16,19044.1889,887,50743
Windows 10,Pro,21H1,2022/06/21,19043.1766,887,50727
Windows 10,Pro,21H2,2022/06/21,19044.1766,887,50727
Windows 10,Pro,20H2,2022/03/15,19041.1586,887,50682
Windows 10,Pro,20H2,2022/01/11,19042.1466,887,50621
Windows 10,Pro,20H2,2021/12/14,19041.1415,887,50611
Windows 10,Pro,20H2,2021/11/09,19041.1348,887,50446
Windows 10,Pro,21H1,2022/07/19,19043.1826,886,50715
Windows 10,Pro,21H2,2022/07/19,19044.1826,886,50715
Windows 10,Pro,21H1,2022/04/19,19043.1645,886,50699
Windows 10,Pro,20H2,2022/04/19,19042.1645,886,50698
Windows 10,Pro,21H1,2022/05/17,19043.1706,886,50669
Windows 10,Pro,21H2,2022/05/17,19044.1706,886,50669
Windows 10,Pro,21H1,2022/03/15,19041.1586,886,50643
Windows 10,Pro,21H2,2022/03/15,19041.1586,886,50643
Windows 10,Pro,21H2,2022/04/19,19044.1645,886,50643
Windows 10,Pro,21H1,2022/02/15,19041.1526,886,50631
Windows 10,Pro,21H2,2022/02/15,19041.1526,886,50631
Windows 10,Pro,20H2,2022/02/15,19041.1526,886,50631
Windows 10,Pro,21H1,2022/01/11,19043.1466,886,50620
Windows 10,Pro,21H2,2022/01/11,19044.1466,886,50620
Windows 10,Pro,21H1,2021/12/14,19043.1415,886,50610
Windows 10,Pro,21H2,2021/12/14,19043.1415,886,50610
Windows 10,Pro,21H1,2021/11/09,19043.1348,886,50445
Windows 10,Pro,2004,2021/11/09,19041.1348,886,50445
Windows 10,Pro,20H2,2021/10/12,19041.1288,886,50421
Windows 10,Pro,21H1,2021/09/14,19043.1237,886,50419
Windows 10,Pro,2004,2021/09/14,19041.1237,886,50419
Windows 10,Pro,20H2,2021/09/14,19041.1237,886,50419
Windows 10,Pro,20H2,2021/03/09,19041.867,886,50338
Windows 10,Pro,21H1,2021/10/12,19043.1288,885,50420
Windows 10,Pro,21H2,2021/10/12,19044.1288,885,50420
Windows 10,Pro,2004,2021/10/12,19041.1288,885,50420
Windows 10,Pro,2004,2021/03/09,19041.867,885,50337
Windows 10,Pro,20H2,2020/12/08,19041.685,885,50265
Windows 10,Pro,20H2,2021/01/12,19041.746,885,50265
Windows 10,Pro,20H2,2021/02/09,19041.804,885,50264
Windows 10,Pro,20H2,2020/11/19,19041.631,885,50237
Windows 10,Pro,21H1,2021/08/10,19043.1165,884,50347
Windows 10,Pro,2004,2021/08/10,19041.1165,884,50347
Windows 10,Pro,20H2,2021/08/10,19041.1165,884,50347
