Provider,Level,Event ID,Version,Channel,Task,Opcode,Keyword,Message
Microsoft-Windows-TerminalServices-RdpSoundDriver,Information,1000,0,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Server version: {UInt32_1}.Client version: {UInt32_2}.
Microsoft-Windows-TerminalServices-RdpSoundDriver,Information,1001,0,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Stream Setup,,,Playback format:	Format: {UINT16_FORMAT_TAG}	Channels: {UINT16_NUM_CHANNELS}	Samples/s: {UINT32_SAMPLES_PER_SECOND}	Avg. Bytes/s: {UINT32_AVERAGE_BYTES_PER_SECOND}	Block align: {UINT16_BLOCK_ALIGN}	Bits/sample: {UINT16_BITS_PER_SAMPLE}
Microsoft-Windows-TerminalServices-RdpSoundDriver,Information,1002,0,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Change,,,Playback format changed to:	Format: {UINT16_FORMAT_TAG}	Channels: {UINT16_NUM_CHANNELS}	Samples/s: {UINT32_SAMPLES_PER_SECOND}	Avg. Bytes/s: {UINT32_AVERAGE_BYTES_PER_SECOND}	Block align: {UINT16_BLOCK_ALIGN}	Bits/sample: {UINT16_BITS_PER_SAMPLE}
Microsoft-Windows-TerminalServices-RdpSoundDriver,Information,1003,0,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Audio playback redirection is enabled.
Microsoft-Windows-TerminalServices-RdpSoundDriver,Error,1004,0,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Audio playback redirection has been disabled by the client.
Microsoft-Windows-TerminalServices-RdpSoundDriver,Error,1005,0,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Audio playback redirection has been disabled by licensing.
Microsoft-Windows-TerminalServices-RdpSoundDriver,Error,1006,0,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Audio playback redirection has been disabled because of a group policy setting.
Microsoft-Windows-TerminalServices-RdpSoundDriver,Error,1007,0,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Audio playback redirection has been disabled because of a registry setting.
Microsoft-Windows-TerminalServices-RdpSoundDriver,Error,1008,0,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Audio playback redirection has been disabled by the system adminstrator.
Microsoft-Windows-TerminalServices-RdpSoundDriver,Information,1009,0,Microsoft-Windows-TerminalServices-RdpSoundDriver/Playback,Settings Check,,,Audio playback redirection quality mode: {StringParameter} ({UInt32Parameter})
Microsoft-Windows-TerminalServices-RdpSoundDriver,Information,2003,0,Microsoft-Windows-TerminalServices-RdpSoundDriver/Capture,Settings Check,,,Audio recording redirection is enabled.
Microsoft-Windows-TerminalServices-RdpSoundDriver,Error,2004,0,Microsoft-Windows-TerminalServices-RdpSoundDriver/Capture,Settings Check,,,Audio recording redirection has been disabled by the client.
Microsoft-Windows-TerminalServices-RdpSoundDriver,Error,2005,0,Microsoft-Windows-TerminalServices-RdpSoundDriver/Capture,Settings Check,,,Audio recording redirection has been disabled by licensing.
Microsoft-Windows-TerminalServices-RdpSoundDriver,Error,2006,0,Microsoft-Windows-TerminalServices-RdpSoundDriver/Capture,Settings Check,,,Audio recording redirectione has been disabled because of a group policy setting.
Microsoft-Windows-TerminalServices-RdpSoundDriver,Error,2007,0,Microsoft-Windows-TerminalServices-RdpSoundDriver/Capture,Settings Check,,,Audio recording redirection has been disabled because of a registry setting.
Microsoft-Windows-TerminalServices-RdpSoundDriver,Error,2008,0,Microsoft-Windows-TerminalServices-RdpSoundDriver/Capture,Settings Check,,,Audio recording redirection has been disabled by the system adminstrator.
Microsoft-Windows-TerminalServices-RdpSoundDriver,Error,2009,0,Microsoft-Windows-TerminalServices-RdpSoundDriver/Capture,Settings Check,,,Audio recording redirection is not available while in session zero.
